,code,listing_date,lot_size,mktcap,offer_price,listing_price,oversub_rate,app_lots_for_one_lot,one_lot_success_rate,last
12,06939.HK,2021/03/31,"2,000",5.75-6.75,1.15-1.35,1.260,21.4,30手,0.950,0.000%
13,09626.HK,2021/03/29,20,"3,760.45",988.00,808.000,173.2,25手,181.000,-0.990%
14,02187.HK,2021/03/26,"8,000",11.22,1.50,1.500,24.2,45手,5.080,-29.333%
15,09888.HK,2021/03/23,50,"8,345.08",295.00,252.000,111.0,50手,148.100,0.000%
16,01927.HK,2021/03/16,"5,000",5.15-5.94,0.65-0.75,0.750,213.4,600手,0.183,-26.667%
17,02518.HK,2021/03/15,100,"1,282.64",251.80,176.300,9.7,100手,59.600,+2.099%
18,01413.HK,2021/03/11,"5,000",5.00-5.40,0.50-0.54,0.540,53.3,25手,0.170,-22.222%
19,06601.HK,2021/03/10,500,104.00-122.67,7.80-9.20,9.200,171.3,30手,1.790,-13.150%
0,06600.HK,2021/03/03,500,116.59-127.44,17.20-18.80,18.800,"1,067.1",140手,10.780,0.000%
1,06127.HK,2021/02/26,100,20.74-23.55,133.00-151.00,151.000,309.0,60手,33.200,-8.609%
2,01473.HK,2021/02/19,"4,000",5.20-5.80,0.52-0.58,0.560,63.2,75手,0.204,+26.786%
3,06606.HK,2021/02/18,500,94.87-111.43,22.70-26.66,26.660,"4,132.2",4000手,33.800,+215.079%
4,02170.HK,2021/02/08,500,21.33-22.14,26.36-27.36,27.360,401.8,200手,4.710,+1.243%
5,01024.HK,2021/02/05,100,"4,366.88-4,782.77",105.00-115.00,115.000,"1,203.2",500手,53.300,+160.870%
6,02161.HK,2021/02/05,"2,000",10.72,1.20,1.200,21.5,100手,0.960,+80.000%
7,02160.HK,2021/02/04,"1,000",266.07-292.44,11.10-12.20,12.200,768.0,400手,2.620,+54.262%
8,06668.HK,2021/01/26,"1,000",32.00-38.80,3.20-3.88,3.860,755.9,100手,1.740,+3.627%
9,02159.HK,2021/01/19,800,6.00-8.00,3.00-4.00,3.000,167.8,225手,1.380,+26.333%
10,09608.HK,2021/01/18,"10,000",6.97-9.63,0.21-0.29,0.250,24.2,10手,0.085,-36.000%
11,01490.HK,2021/01/15,"4,000",13.33-15.80,1.08-1.28,1.230,"1,273.8",250手,0.242,+21.951%
12,01643.HK,2021/01/15,"3,000",5.52-8.82,0.92-1.47,1.180,29.7,15手,0.495,+6.780%
13,02125.HK,2021/01/15,"1,000",35.09-42.38,5.10-6.16,5.880,402.5,100手,1.130,+83.673%
14,02146.HK,2021/01/15,500,12.65-17.26,13.46-18.36,13.460,5.6,9手,2.150,-8.172%
15,02158.HK,2021/01/15,100,217.43-243.34,23.50-26.30,26.300,"1,632.8",200手,7.120,+147.909%
16,01440.HK,2021/01/13,"5,000",5.04-6.30,0.40-0.50,0.400,32.6,50手,1.260,+3.750%
17,02129.HK,2021/01/13,"5,000",5.00-6.50,0.40-0.52,0.400,442.4,100手,0.121,-12.500%
18,02153.HK,2021/01/13,"2,000",17.50-22.87,1.50-1.96,1.730,9.3,20手,1.380,-8.671%
19,08489.HK,2021/01/13,"5,000",2.22-2.82,0.74-0.94,0.740,34.9,60手,0.245,+17.568%
0,01855.HK,2021/01/06,"2,000",5.23-6.66,1.90-2.42,2.000,35.3,25手,9.780,+2.500%
1,09600.HK,2021/01/06,800,24.48-34.88,3.06-4.36,4.360,445.6,625手,1.880,-5.963%
